UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
7083,L54262,L,300.7,310.3,1458,40.0,207,0,0,0,0,0,0
7084,L54263,L,300.7,310.4,1416,61.8,209,1,0,0,1,1,0
7085,L54264,L,300.6,310.3,1794,24.4,211,0,0,0,0,0,0
7086,L54265,L,300.6,310.3,1484,41.0,213,0,0,0,0,0,0
7087,L54266,L,300.6,310.4,2514,13.4,215,0,0,0,0,0,0
7088,L54267,L,300.6,310.3,1648,30.5,217,1,1,0,0,0,0
7089,M21948,M,300.6,310.3,1614,32.7,0,0,0,0,0,0,0
7090,L54269,L,300.6,310.2,1622,34.1,3,0,0,0,0,0,0
7091,M21950,M,300.6,310.2,1478,40.1,5,0,0,0,0,0,0
7092,L54271,L,300.6,310.2,1318,51.0,8,0,0,0,0,0,0
7093,L54272,L,300.7,310.2,1493,35.9,10,0,0,0,0,0,0
7094,H36507,H,300.7,310.3,1369,50.7,12,0,0,0,0,0,0
7095,L54274,L,300.6,310.2,1447,45.9,17,0,0,0,0,0,0
7096,L54275,L,300.6,310.1,1485,49.9,19,0,0,0,0,0,0
7097,L54276,L,300.6,310.2,1489,47.8,21,0,0,0,0,0,0
7098,M21957,M,300.6,310.2,1233,52.3,23,0,0,0,0,0,0
7099,L54278,L,300.7,310.2,1642,32.6,26,0,0,0,0,0,0
7100,M21959,M,300.7,310.2,1373,44.1,28,0,0,0,0,0,0
7101,L54280,L,300.7,310.2,1569,32.8,31,0,0,0,0,0,0
7102,L54281,L,300.8,310.2,1850,22.8,33,0,0,0,0,0,0
7103,M21962,M,300.8,310.3,1494,42.2,35,0,0,0,0,0,0
7104,H36517,H,300.8,310.3,1777,30.1,38,0,0,0,0,0,0
7105,L54284,L,300.9,310.4,1454,43.1,43,0,0,0,0,0,0
7106,L54285,L,300.9,310.4,1536,34.2,45,0,0,0,0,0,0
7107,L54286,L,300.8,310.5,1482,39.0,47,0,0,0,0,0,0
7108,H36521,H,300.9,310.5,1512,41.2,49,0,0,0,0,0,0
7109,M21968,M,300.8,310.5,1511,35.8,54,0,0,0,0,0,0
7110,L54289,L,300.9,310.5,1599,40.5,57,0,0,0,0,0,0
7111,M21970,M,300.8,310.4,1518,36.0,59,0,0,0,0,0,0
7112,M21971,M,300.8,310.4,1450,39.4,62,0,0,0,0,0,0
7113,L54292,L,300.9,310.4,1427,47.0,65,0,0,0,0,0,0
7114,L54293,L,300.9,310.4,1561,32.7,67,0,0,0,0,0,0
7115,H36528,H,300.9,310.4,1457,43.8,69,0,0,0,0,0,0
7116,M21975,M,301.0,310.6,1460,53.6,74,0,0,0,0,0,0
7117,L54296,L,301.0,310.5,1601,33.2,77,0,0,0,0,0,0
7118,L54297,L,300.9,310.5,1570,40.1,79,0,0,0,0,0,0
7119,L54298,L,300.9,310.5,1565,35.9,81,0,0,0,0,0,0
7120,L54299,L,301.0,310.5,1378,44.4,83,0,0,0,0,0,0
7121,L54300,L,300.9,310.5,2288,16.1,85,0,0,0,0,0,0
7122,M21981,M,300.9,310.4,1375,44.7,87,0,0,0,0,0,0
7123,L54302,L,300.9,310.4,1788,27.8,90,0,0,0,0,0,0
7124,M21983,M,300.9,310.4,1576,40.4,92,0,0,0,0,0,0
7125,M21984,M,300.8,310.3,1868,24.5,95,0,0,0,0,0,0
7126,L54305,L,300.7,310.1,1261,56.6,98,0,0,0,0,0,0
7127,M21986,M,300.6,310.0,1542,33.9,100,0,0,0,0,0,0
7128,L54307,L,300.6,310.0,1438,53.8,103,0,0,0,0,0,0
7129,L54308,L,300.6,310.0,1511,36.9,105,0,0,0,0,0,0
7130,L54309,L,300.6,310.0,1635,31.0,107,0,0,0,0,0,0
7131,L54310,L,300.6,309.9,1428,48.8,109,0,0,0,0,0,0
7132,M21991,M,300.5,309.8,1410,44.4,111,0,0,0,0,0,0
7133,L54312,L,300.5,309.9,1423,47.9,114,0,0,0,0,0,0
7134,M21993,M,300.5,309.9,1552,41.3,116,0,0,0,0,0,0
7135,M21994,M,300.5,310.0,1406,50.2,119,0,0,0,0,0,0
7136,L54315,L,300.5,309.9,1443,48.3,122,0,0,0,0,0,0
7137,M21996,M,300.5,309.9,1343,63.7,124,0,0,0,0,0,0
7138,M21997,M,300.6,310.0,1486,41.2,127,0,0,0,0,0,0
7139,L54318,L,300.6,310.1,1297,50.0,130,0,0,0,0,0,0
7140,L54319,L,300.6,310.1,1495,42.3,132,0,0,0,0,0,0
7141,L54320,L,300.5,309.9,1382,46.5,134,0,0,0,0,0,0
7142,M22001,M,300.4,309.8,1356,44.4,136,0,0,0,0,0,0
7143,H36556,H,300.3,309.7,1452,41.5,139,0,0,0,0,0,0
7144,H36557,H,300.3,309.7,1582,30.8,144,0,0,0,0,0,0
7145,M22004,M,300.4,309.8,1517,40.3,149,0,0,0,0,0,0
7146,L54325,L,300.5,310.0,1413,44.5,152,0,0,0,0,0,0
7147,L54326,L,300.4,309.9,1496,31.8,154,0,0,0,0,0,0
7148,L54327,L,300.3,309.8,1466,41.2,156,0,0,0,0,0,0
7149,M22008,M,300.3,309.8,1617,40.8,158,0,0,0,0,0,0
7150,L54329,L,300.2,309.8,1506,41.8,161,0,0,0,0,0,0
7151,L54330,L,300.2,309.8,1401,49.3,163,0,0,0,0,0,0
7152,H36565,H,300.2,309.9,1906,22.9,165,0,0,0,0,0,0
7153,L54332,L,300.2,309.9,1566,36.4,170,0,0,0,0,0,0
7154,L54333,L,300.2,310.0,1493,47.3,172,0,0,0,0,0,0
7155,L54334,L,300.3,310.1,1483,39.9,174,0,0,0,0,0,0
7156,M22015,M,300.2,309.9,1569,31.2,176,0,0,0,0,0,0
7157,M22016,M,300.2,310.0,1664,30.7,179,0,0,0,0,0,0
7158,L54337,L,300.2,310.0,1486,40.1,182,0,0,0,0,0,0
7159,L54338,L,300.2,310.0,1389,53.6,184,0,0,0,0,0,0
7160,L54339,L,300.1,310.0,1511,41.7,186,0,0,0,0,0,0
7161,M22020,M,300.2,310.1,1485,40.5,188,0,0,0,0,0,0
7162,L54341,L,300.2,310.2,1440,42.9,191,0,0,0,0,0,0
7163,L54342,L,300.2,310.2,1378,43.9,193,0,0,0,0,0,0
7164,M22023,M,300.1,310.1,1501,39.3,195,0,0,0,0,0,0
7165,M22024,M,300.2,310.1,1474,44.0,198,0,0,0,0,0,0
7166,L54345,L,300.2,310.1,1392,47.9,201,0,0,0,0,0,0
7167,M22026,M,300.3,310.2,1429,44.7,203,0,0,0,0,0,0
7168,L54347,L,300.3,310.3,1362,60.3,206,1,0,0,0,1,0
7169,L54348,L,300.3,310.3,1704,29.5,0,0,0,0,0,0,0
7170,L54349,L,300.3,310.2,1492,52.3,2,0,0,0,0,0,0
7171,M22030,M,300.3,310.2,1442,39.5,4,0,0,0,0,0,0
7172,M22031,M,300.2,310.2,1438,51.5,7,0,0,0,0,0,0
7173,M22032,M,300.1,310.1,1402,46.6,10,0,0,0,0,0,0
7174,L54353,L,300.1,310.1,1684,30.8,13,0,0,0,0,0,0
7175,L54354,L,300.2,310.2,1530,48.5,15,0,0,0,0,0,0
7176,L54355,L,300.1,310.1,1569,43.5,17,0,0,0,0,0,0
7177,L54356,L,300.1,310.1,1650,31.6,19,0,0,0,0,0,0
7178,L54357,L,300.2,310.2,1415,49.6,21,0,0,0,0,0,0
7179,L54358,L,300.2,310.2,1600,31.5,23,0,0,0,0,0,0
7180,L54359,L,300.2,310.1,1523,42.3,25,0,0,0,0,0,0
7181,M22040,M,300.2,310.2,1628,30.3,27,0,0,0,0,0,0
7182,L54361,L,300.2,310.3,1331,52.1,30,0,0,0,0,0,0
7183,L54362,L,300.3,310.3,2158,16.8,32,0,0,0,0,0,0
7184,L54363,L,300.2,310.3,1445,50.9,34,0,0,0,0,0,0
7185,M22044,M,300.2,310.3,1593,36.1,36,0,0,0,0,0,0
7186,L54365,L,300.3,310.4,1672,29.2,39,0,0,0,0,0,0
7187,M22046,M,300.4,310.5,1644,31.4,41,0,0,0,0,0,0
7188,L54367,L,300.4,310.5,1402,54.3,44,0,0,0,0,0,0
7189,L54368,L,300.4,310.4,1286,56.8,46,0,0,0,0,0,0
7190,L54369,L,300.4,310.4,1486,46.3,48,0,0,0,0,0,0
7191,L54370,L,300.3,310.3,1345,46.3,50,0,0,0,0,0,0
7192,L54371,L,300.3,310.3,1629,34.1,52,0,0,0,0,0,0
7193,M22052,M,300.2,310.2,1429,43.8,54,0,0,0,0,0,0
7194,L54373,L,300.1,310.1,1306,64.7,57,0,0,0,0,0,0
7195,L54374,L,300.1,310.1,1380,52.6,59,0,0,0,0,0,0
7196,M22055,M,300.1,310.1,1443,49.3,61,0,0,0,0,0,0
7197,H36610,H,300.1,310.1,1426,42.7,64,0,0,0,0,0,0
7198,L54377,L,300.0,310.0,1486,41.8,69,0,0,0,0,0,0
7199,M22058,M,300.0,309.9,1530,34.5,71,0,0,0,0,0,0
7200,L54379,L,300.0,309.9,1507,41.4,74,0,0,0,0,0,0
7201,L54380,L,300.0,309.9,1608,33.4,76,0,0,0,0,0,0
7202,L54381,L,300.0,309.8,1474,40.6,78,0,0,0,0,0,0
7203,L54382,L,300.0,309.7,1326,61.9,80,0,0,0,0,0,0
7204,M22063,M,299.8,309.6,1434,48.0,82,0,0,0,0,0,0
7205,L54384,L,299.8,309.6,1526,41.7,85,0,0,0,0,0,0
7206,L54385,L,299.8,309.7,1483,39.6,87,0,0,0,0,0,0
7207,L54386,L,299.8,309.7,1457,51.9,89,0,0,0,0,0,0
7208,M22067,M,299.7,309.6,1540,34.4,91,0,0,0,0,0,0
7209,L54388,L,299.8,309.7,1707,29.1,94,0,0,0,0,0,0
7210,L54389,L,299.8,309.7,1624,34.2,96,0,0,0,0,0,0
7211,M22070,M,299.8,309.6,1331,50.2,98,0,0,0,0,0,0
7212,L54391,L,299.8,309.7,1431,40.3,101,0,0,0,0,0,0
7213,M22072,M,299.8,309.7,1705,28.5,103,0,0,0,0,0,0
7214,M22073,M,299.8,309.8,1427,45.2,106,0,0,0,0,0,0
7215,M22074,M,299.9,309.8,1625,41.2,109,0,0,0,0,0,0
7216,L54395,L,299.9,309.8,1477,47.7,112,0,0,0,0,0,0
7217,M22076,M,300.0,309.9,1651,28.1,114,0,0,0,0,0,0
7218,L54397,L,299.9,309.8,1716,28.2,117,0,0,0,0,0,0
7219,H36632,H,299.9,309.8,1400,48.7,119,0,0,0,0,0,0
7220,M22079,M,299.8,309.7,1556,37.7,124,0,0,0,0,0,0
7221,L54400,L,299.8,309.7,1429,42.6,127,0,0,0,0,0,0
7222,H36635,H,299.7,309.6,1433,49.6,129,0,0,0,0,0,0
7223,M22082,M,299.8,309.7,1320,61.7,134,0,0,0,0,0,0
7224,L54403,L,299.8,309.6,1374,51.6,137,0,0,0,0,0,0
7225,L54404,L,299.8,309.6,1598,31.0,139,0,0,0,0,0,0
7226,M22085,M,299.8,309.7,1910,21.8,141,0,0,0,0,0,0
7227,L54406,L,299.7,309.6,1399,51.3,144,0,0,0,0,0,0
7228,L54407,L,299.7,309.6,1720,27.1,146,0,0,0,0,0,0
7229,H36642,H,299.8,309.7,1368,47.4,148,0,0,0,0,0,0
7230,L54409,L,299.8,309.8,1749,33.4,153,0,0,0,0,0,0
7231,L54410,L,299.8,309.8,1542,39.4,155,0,0,0,0,0,0
7232,L54411,L,299.8,309.9,1553,36.6,157,0,0,0,0,0,0
7233,M22092,M,299.9,309.9,1639,42.1,159,0,0,0,0,0,0
7234,L54413,L,299.9,310.0,1447,45.9,162,0,0,0,0,0,0
7235,M22094,M,299.8,310.0,1397,48.1,164,0,0,0,0,0,0
7236,L54415,L,299.8,310.0,1361,53.8,167,0,0,0,0,0,0
7237,M22096,M,299.8,310.0,1460,37.1,169,0,0,0,0,0,0
7238,M22097,M,299.8,310.0,1632,33.7,172,0,0,0,0,0,0
7239,L54418,L,299.8,310.0,1697,36.0,175,0,0,0,0,0,0
7240,L54419,L,299.8,310.1,1553,42.0,177,0,0,0,0,0,0
7241,M22100,M,299.9,310.1,1362,56.3,179,0,0,0,0,0,0
7242,M22101,M,299.9,310.0,1484,42.1,182,0,0,0,0,0,0
7243,H36656,H,299.9,310.1,1447,51.4,185,0,0,0,0,0,0
7244,M22103,M,300.0,310.2,1393,51.2,190,0,0,0,0,0,0
7245,L54424,L,300.0,310.2,1760,26.9,193,0,0,0,0,0,0
7246,L54425,L,300.0,310.1,1477,34.6,195,0,0,0,0,0,0
7247,L54426,L,299.9,310.1,1681,29.1,197,0,0,0,0,0,0
7248,M22107,M,300.0,310.1,1314,53.5,199,0,0,0,0,0,0
7249,L54428,L,300.0,310.1,1762,28.0,202,0,0,0,0,0,0
7250,L54429,L,299.9,310.0,1402,44.7,204,0,0,0,0,0,0
7251,M22110,M,300.1,310.2,1429,42.0,206,0,0,0,0,0,0
7252,M22111,M,300.2,310.3,1448,40.1,209,0,0,0,0,0,0
7253,H36666,H,300.2,310.4,1501,42.9,212,0,0,0,0,0,0
7254,L54433,L,300.3,310.5,1522,39.1,217,0,0,0,0,0,0
7255,L54434,L,300.3,310.4,1493,37.5,219,0,0,0,0,0,0
7256,M22115,M,300.2,310.3,1704,29.4,221,0,0,0,0,0,0
7257,H36670,H,300.2,310.3,1408,42.5,0,0,0,0,0,0,0
7258,L54437,L,300.2,310.4,1518,41.8,5,0,0,0,0,0,0
7259,L54438,L,300.3,310.4,1742,25.9,7,0,0,0,0,0,0
7260,M22119,M,300.4,310.5,1500,43.0,9,0,0,0,0,0,0
7261,L54440,L,300.4,310.5,2424,14.5,12,0,0,0,0,0,0
7262,L54441,L,300.4,310.5,1818,25.1,14,0,0,0,0,0,0
7263,M22122,M,300.4,310.6,1545,35.6,16,0,0,0,0,0,0
7264,L54443,L,300.4,310.6,1429,46.9,19,0,0,0,0,0,0
7265,M22124,M,300.4,310.6,1448,44.9,21,0,0,0,0,0,0
7266,L54445,L,300.4,310.6,1384,48.7,24,0,0,0,0,0,0
7267,L54446,L,300.4,310.5,1578,32.8,26,0,0,0,0,0,0
7268,L54447,L,300.5,310.5,1695,26.7,28,0,0,0,0,0,0
7269,L54448,L,300.5,310.6,1543,36.2,30,0,0,0,0,0,0
7270,M22129,M,300.4,310.5,1540,33.4,32,0,0,0,0,0,0
7271,L54450,L,300.2,310.4,1808,25.8,35,0,0,0,0,0,0
7272,M22131,M,300.3,310.4,1293,49.7,37,0,0,0,0,0,0
7273,L54452,L,300.2,310.3,1202,59.5,40,0,0,0,0,0,0
7274,M22133,M,300.2,310.3,1704,29.2,42,0,0,0,0,0,0
7275,M22134,M,300.2,310.3,1478,38.1,45,0,0,0,0,0,0
7276,L54455,L,300.2,310.3,1514,38.7,48,0,0,0,0,0,0
7277,M22136,M,300.1,310.3,1350,48.8,50,0,0,0,0,0,0
7278,L54457,L,300.1,310.2,1475,54.2,53,0,0,0,0,0,0
7279,H36692,H,300.0,310.1,1714,28.7,55,0,0,0,0,0,0
7280,L54459,L,300.0,310.1,1465,40.9,60,0,0,0,0,0,0
7281,L54460,L,299.9,310.2,1288,69.6,62,1,0,0,1,0,0
7282,L54461,L,300.0,310.2,1675,29.7,64,0,0,0,0,0,0
7283,L54462,L,300.0,310.2,1486,36.4,66,0,0,0,0,0,0
7284,M22143,M,300.0,310.2,1443,58.7,68,0,0,0,0,0,0
7285,M22144,M,300.1,310.3,1345,57.1,71,0,0,0,0,0,0
7286,M22145,M,300.2,310.4,1202,61.7,74,0,0,0,0,0,0
7287,M22146,M,300.1,310.4,1480,37.1,77,0,0,0,0,0,0
7288,M22147,M,300.2,310.4,1530,35.7,80,0,0,0,0,0,0
7289,M22148,M,300.2,310.6,1983,20.8,83,0,0,0,0,0,0
7290,L54469,L,300.3,310.6,1433,53.8,86,0,0,0,0,0,0
7291,L54470,L,300.3,310.6,1806,24.4,88,0,0,0,0,0,0
7292,L54471,L,300.2,310.5,1416,46.7,90,0,0,0,0,0,0
7293,M22152,M,300.1,310.4,1556,38.1,92,0,0,0,0,0,0
7294,L54473,L,300.1,310.5,1627,29.2,95,0,0,0,0,0,0
7295,L54474,L,300.1,310.6,1809,24.3,97,0,0,0,0,0,0
7296,M22155,M,300.1,310.5,1329,57.4,99,0,0,0,0,0,0
7297,H36710,H,300.0,310.4,1881,21.9,102,0,0,0,0,0,0
7298,L54477,L,300.1,310.5,1500,39.8,107,0,0,0,0,0,0
7299,L54478,L,300.1,310.5,1532,36.0,109,0,0,0,0,0,0
7300,L54479,L,300.1,310.5,1492,50.9,111,0,0,0,0,0,0
7301,L54480,L,300.2,310.6,1431,42.3,113,0,0,0,0,0,0
7302,L54481,L,300.1,310.4,1554,39.4,115,0,0,0,0,0,0
7303,L54482,L,300.1,310.5,1494,44.2,117,0,0,0,0,0,0
7304,L54483,L,300.1,310.6,1374,45.4,119,0,0,0,0,0,0
7305,L54484,L,300.1,310.5,1394,44.3,121,0,0,0,0,0,0
7306,M22165,M,300.0,310.5,1790,25.7,123,0,0,0,0,0,0
7307,L54486,L,300.1,310.5,1356,45.8,126,0,0,0,0,0,0
7308,M22167,M,300.0,310.4,1385,52.1,128,0,0,0,0,0,0
7309,L54488,L,300.0,310.4,1333,49.1,131,0,0,0,0,0,0
7310,L54489,L,300.0,310.4,1505,44.9,133,0,0,0,0,0,0
7311,L54490,L,300.0,310.5,1606,33.5,135,0,0,0,0,0,0
7312,H36725,H,300.0,310.5,1558,36.7,137,0,0,0,0,0,0
7313,L54492,L,300.0,310.5,1412,52.4,142,0,0,0,0,0,0
7314,L54493,L,299.9,310.4,1408,38.4,144,0,0,0,0,0,0
7315,L54494,L,299.9,310.3,1268,53.3,146,0,0,0,0,0,0
7316,L54495,L,299.9,310.4,1470,50.0,148,0,0,0,0,0,0
7317,L54496,L,299.9,310.4,1497,47.0,150,0,0,0,0,0,0
7318,L54497,L,299.9,310.3,1638,29.1,152,0,0,0,0,0,0
7319,H36732,H,299.9,310.3,1535,43.9,154,0,0,0,0,0,0
7320,L54499,L,299.8,310.2,1654,32.7,159,0,0,0,0,0,0
7321,H36734,H,299.8,310.2,1411,49.7,161,0,0,0,0,0,0
7322,L54501,L,299.8,310.2,1911,23.5,166,0,0,0,0,0,0
7323,H36736,H,299.8,310.2,1573,33.3,168,0,0,0,0,0,0
7324,L54503,L,299.9,310.2,1479,46.3,173,0,0,0,0,0,0
7325,M22184,M,299.9,310.4,1820,26.6,175,0,0,0,0,0,0
7326,L54505,L,299.9,310.4,1419,45.7,178,0,0,0,0,0,0
7327,M22186,M,299.9,310.5,1335,52.9,180,0,0,0,0,0,0
7328,M22187,M,299.9,310.5,1576,39.4,183,0,0,0,0,0,0
7329,L54508,L,300.0,310.5,1517,42.2,186,0,0,0,0,0,0
7330,M22189,M,299.9,310.4,1576,34.3,188,0,0,0,0,0,0
7331,H36744,H,299.8,310.2,1537,36.6,191,0,0,0,0,0,0
7332,L54511,L,299.8,310.3,1524,34.2,196,0,0,0,0,0,0
7333,M22192,M,299.8,310.3,1805,23.7,198,0,0,0,0,0,0
7334,M22193,M,299.9,310.4,1367,53.3,201,0,0,0,0,0,0
7335,L54514,L,299.8,310.4,1694,30.3,204,0,0,0,0,0,0
7336,L54515,L,299.9,310.4,1328,49.9,206,0,0,0,0,0,0
7337,H36750,H,299.9,310.5,1549,42.8,208,0,0,0,0,0,0
7338,L54517,L,299.9,310.5,1539,32.8,213,0,0,0,0,0,0
7339,L54518,L,299.8,310.5,1496,38.8,215,0,0,0,0,0,0
7340,L54519,L,299.8,310.4,1579,36.4,0,0,0,0,0,0,0
7341,L54520,L,299.7,310.3,1386,46.6,2,0,0,0,0,0,0
7342,L54521,L,299.7,310.3,1505,37.7,4,0,0,0,0,0,0
7343,M22202,M,299.7,310.3,1661,34.5,6,0,0,0,0,0,0
7344,L54523,L,299.6,310.2,1468,48.0,9,0,0,0,0,0,0
7345,L54524,L,299.6,310.1,1384,49.8,11,0,0,0,0,0,0
7346,L54525,L,299.6,310.2,1381,60.5,13,0,0,0,0,0,0
7347,L54526,L,299.6,310.2,1469,47.0,15,0,0,0,0,0,0
7348,L54527,L,299.6,310.2,1627,36.6,17,0,0,0,0,0,0
7349,H36762,H,299.7,310.3,1462,40.4,19,0,0,0,0,0,0
7350,L54529,L,299.7,310.2,1633,36.5,24,0,0,0,0,0,0
7351,L54530,L,299.7,310.2,1469,39.5,26,0,0,0,0,0,0
7352,L54531,L,299.7,310.2,1458,43.4,28,0,0,0,0,0,0
7353,M22212,M,299.7,310.2,1440,42.8,30,0,0,0,0,0,0
7354,L54533,L,299.8,310.3,1687,30.4,33,0,0,0,0,0,0
7355,M22214,M,299.7,310.3,1429,47.7,35,0,0,0,0,0,0
7356,L54535,L,299.6,310.2,1588,34.1,38,0,0,0,0,0,0
7357,L54536,L,299.6,310.2,1333,51.2,40,0,0,0,0,0,0
7358,L54537,L,299.6,310.1,1487,42.9,42,0,0,0,0,0,0
7359,M22218,M,299.5,310.1,1659,31.5,44,0,0,0,0,0,0
7360,M22219,M,299.4,310.0,1512,43.2,47,0,0,0,0,0,0
7361,L54540,L,299.5,310.1,1585,35.2,50,0,0,0,0,0,0
7362,L54541,L,299.5,310.0,1502,38.5,52,0,0,0,0,0,0
7363,L54542,L,299.5,310.0,1594,35.1,54,0,0,0,0,0,0
7364,L54543,L,299.5,310.0,1412,48.9,56,0,0,0,0,0,0
